user_id,product_id,score
1,2,4.9720206
1,10,4.9173636
1,8,4.6807404
1,7,4.3898945
1,1,4.0688605
1,3,4.0107145
1,9,3.7514994
1,4,3.4498744
1,6,3.1365383
1,5,2.8560824
2,5,4.665598
2,4,4.0358434
2,7,3.9803758
2,9,3.4653113
2,2,3.2980933
2,1,3.0190399
2,6,3.0090773
2,10,2.6956458
2,3,2.6648088
2,8,2.0252209
3,2,4.8237567
3,7,4.817097
3,10,4.097464
3,5,3.9365692
3,3,3.9319546
3,8,3.7006783
3,1,3.6781158
3,4,3.5869546
3,9,3.395317
3,6,3.0360954
4,4,4.8611293
4,9,4.8533926
4,5,4.056115
4,1,3.9420483
4,6,3.875558
4,10,3.871341
4,7,3.8600507
4,2,3.606625
4,8,3.036317
4,3,2.8329184
5,10,4.82599
5,1,4.677982
5,2,4.0842156
5,9,4.02158
5,7,3.9989624
5,8,3.633803
5,4,3.6164165
5,3,3.1594095
5,6,3.0972133
5,5,3.0336208
