user_id,product_id,score
1,2,4.9741287
1,10,4.9116197
1,8,4.6750164
1,7,4.495616
1,1,4.0663466
1,3,4.0004363
1,9,3.5349014
1,4,3.3060179
1,5,2.839835
1,6,2.7505808
2,5,4.6508083
2,4,4.0114665
2,7,4.0020666
2,2,3.5112884
2,9,3.283298
2,1,3.0249777
2,3,2.8272214
2,10,2.7644904
2,6,2.7268405
2,8,2.0133593
3,2,4.8255997
3,7,4.803043
3,5,4.1375575
3,10,4.107389
3,4,4.0281706
3,3,3.9267392
3,8,3.7451737
3,9,3.6949732
3,1,3.693933
3,6,3.0219462
4,4,4.8617883
4,9,4.8431044
4,7,4.415495
4,1,4.308113
4,10,4.246691
4,2,4.201398
4,5,4.050414
4,6,3.848155
4,3,3.2654533
4,8,3.022863
5,10,4.8245497
5,1,4.682244
5,2,4.0748696
5,9,4.013985
5,7,4.0053353
5,4,3.661365
5,8,3.5294406
5,3,3.0919354
5,5,3.0253084
5,6,2.9885373
