source_product_id,similar_product_id,similarity
1,10,0.9672855228513998
1,9,0.9051748632780234
1,7,0.8709088116989405
1,6,0.8617989298341965
1,2,0.8563760720739876
1,4,0.8404052015228142
1,3,0.8093099481982562
1,8,0.7990756452701526
1,5,0.7226209968860795
2,3,0.9963326897420799
2,7,0.9804527966644341
2,8,0.9361669348845962
2,10,0.9175224448985614
2,1,0.8563760720739876
2,6,0.8424315850199048
2,4,0.8378258241241259
2,9,0.8365412800440465
2,5,0.7848859422438029
3,2,0.9963326897420799
3,7,0.9728615183501366
3,8,0.9315889089097322
3,10,0.8831513691122569
3,6,0.8166710071710166
3,4,0.8164974686519746
3,1,0.8093099481982562
3,9,0.8025399423141373
3,5,0.7783737379547296
4,6,0.981190744872747
4,9,0.9662085025107637
4,7,0.9082032570448981
4,5,0.907661621141262
4,1,0.8404052015228142
4,2,0.8378258241241259
4,3,0.8164974686519746
4,10,0.7802292295678659
4,8,0.6458116408995851
5,4,0.907661621141262
5,7,0.8864695524470514
5,6,0.8133066018791582
5,9,0.7849032864577218
5,2,0.7848859422438029
5,3,0.7783737379547296
5,1,0.7226209968860795
5,10,0.6454840573359415
5,8,0.54293368087073
6,9,0.9933777987027773
6,4,0.981190744872747
6,7,0.886505607036057
6,1,0.8617989298341965
6,2,0.8424315850199048
6,10,0.8237165121144755
6,3,0.8166710071710166
6,5,0.8133066018791582
6,8,0.694509280491085
7,2,0.9804527966644341
7,3,0.9728615183501366
7,4,0.9082032570448981
7,6,0.886505607036057
7,5,0.8864695524470514
7,10,0.8861159859256493
7,9,0.8757737558639814
7,1,0.8709088116989405
7,8,0.8534347433775192
8,2,0.9361669348845962
8,3,0.9315889089097322
8,10,0.9213505108915848
8,7,0.8534347433775192
8,1,0.7990756452701526
8,9,0.7087853281238172
8,6,0.694509280491085
8,4,0.6458116408995851
8,5,0.54293368087073
9,6,0.9933777987027773
9,4,0.9662085025107637
9,1,0.9051748632780234
9,7,0.8757737558639814
9,10,0.8619034217981213
9,2,0.8365412800440465
9,3,0.8025399423141373
9,5,0.7849032864577218
9,8,0.7087853281238172
10,1,0.9672855228513998
10,8,0.9213505108915848
10,2,0.9175224448985614
10,7,0.8861159859256493
10,3,0.8831513691122569
10,9,0.8619034217981213
10,6,0.8237165121144755
10,4,0.7802292295678659
10,5,0.6454840573359415
